Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Big Portage Lake,Vilas,1629500,NO,64,,643510,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189462,07/14/1999,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,07/26/1999,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,08/07/1999,13.25,NO,4,,,40,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,08/26/1999,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,09/10/1999,13,NO,4,,,40,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,09/27/1999,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
08/22/2016,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/25/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
05/29/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/12/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/17/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/21/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
06/25/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/19/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/28/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
07/31/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/05/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/14/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/16/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/20/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
08/31/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
09/02/2017,Janet Rasmussen,Citizen Lake Monitoring - Water Quality - Big Portage Lake; West Bay
