Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Tiger Cat Flowage,Sawyer,2435000,NO,58,,583104,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189247,09/23/1997,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,07/02/1998,7.25,NO,2.2,,,49,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189247,07/23/1998,8,NO,2.4,,,47,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,08/08/1998,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,08/30/1998,8.5,NO,2.6,,,46,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,09/20/1998,7.5,NO,2.3,,,48,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189247,10/04/1998,8.75,NO,2.7,,,46,,,NO CHANGE,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
08/10/2013,0,FEET,70.1,DEGREES F,9.45,MG/L
08/10/2013,3,FEET,70.1,DEGREES F,9.42,MG/L
08/10/2013,6,FEET,70,DEGREES F,9.31,MG/L
08/10/2013,9,FEET,70,DEGREES F,9.27,MG/L
08/10/2013,12,FEET,69.9,DEGREES F,8.95,MG/L
08/10/2013,15,FEET,69.8,DEGREES F,9.29,MG/L
08/10/2013,18,FEET,68,DEGREES F,6.18,MG/L
08/10/2013,21,FEET,61.1,DEGREES F,.24,MG/L
08/26/2013,0,FEET,78.8,DEGREES F,,
08/26/2013,3,FEET,78.2,DEGREES F,,
08/26/2013,6,FEET,77.9,DEGREES F,,
08/26/2013,9,FEET,77.9,DEGREES F,,
09/02/2013,0,FEET,74,DEGREES F,7.24,MG/L
09/02/2013,3,FEET,74.1,DEGREES F,7.22,MG/L
09/02/2013,6,FEET,74.2,DEGREES F,7.21,MG/L
09/02/2013,9,FEET,74.3,DEGREES F,7.19,MG/L
09/02/2013,12,FEET,74.4,DEGREES F,7.15,MG/L
09/02/2013,15,FEET,74.4,DEGREES F,7.05,MG/L
09/02/2013,18,FEET,71.7,DEGREES F,1.2,MG/L
09/02/2013,20,FEET,70.1,DEGREES F,.1,MG/L
09/11/2013,0,FEET,71.4,DEGREES F,8.4,MG/L
09/11/2013,3,FEET,71.5,DEGREES F,8.39,MG/L
09/11/2013,6,FEET,71.5,DEGREES F,8.38,MG/L
09/11/2013,9,FEET,71.5,DEGREES F,8.37,MG/L
09/11/2013,12,FEET,71.5,DEGREES F,8.36,MG/L
09/11/2013,15,FEET,71.5,DEGREES F,7.5,MG/L
09/11/2013,18,FEET,70.2,DEGREES F,.25,MG/L
05/18/2014,0,FEET,54.3,DEGREES F,9.94,MG/L
05/18/2014,3,FEET,54.3,DEGREES F,9.94,MG/L
05/18/2014,6,FEET,54.3,DEGREES F,9.93,MG/L
05/18/2014,9,FEET,54.3,DEGREES F,9.91,MG/L
05/18/2014,12,FEET,54.3,DEGREES F,9.88,MG/L
05/18/2014,15,FEET,51,DEGREES F,3.98,MG/L
05/18/2014,18,FEET,49.8,DEGREES F,1.4,MG/L
05/31/2014,0,FEET,73,DEGREES F,,
05/31/2014,3,FEET,73.2,DEGREES F,,
05/31/2014,6,FEET,72.6,DEGREES F,,
05/31/2014,9,FEET,69.6,DEGREES F,,
05/31/2014,12,FEET,60.8,DEGREES F,,
05/31/2014,15,FEET,57.2,DEGREES F,,
05/31/2014,18,FEET,52.1,DEGREES F,,
06/08/2014,0,FEET,70,DEGREES F,,
06/08/2014,3,FEET,69.2,DEGREES F,,
06/08/2014,6,FEET,68.7,DEGREES F,,
06/08/2014,9,FEET,68,DEGREES F,,
06/08/2014,12,FEET,67.6,DEGREES F,,
06/08/2014,15,FEET,59.5,DEGREES F,,
06/08/2014,18,FEET,56.1,DEGREES F,,
06/08/2014,21,FEET,51.4,DEGREES F,,
06/29/2014,0,FEET,74.6,DEGREES F,8.42,MG/L
06/29/2014,3,FEET,74.6,DEGREES F,8.46,MG/L
06/29/2014,6,FEET,74.5,DEGREES F,8.5,MG/L
06/29/2014,9,FEET,74.6,DEGREES F,8.46,MG/L
06/29/2014,12,FEET,74.5,DEGREES F,8.54,MG/L
06/29/2014,15,FEET,73.5,DEGREES F,7.78,MG/L
06/29/2014,18,FEET,67.5,DEGREES F,1.3,MG/L
07/06/2014,0,FEET,74.7,DEGREES F,8.44,MG/L
07/06/2014,3,FEET,74.6,DEGREES F,8.43,MG/L
07/06/2014,6,FEET,74.6,DEGREES F,8.42,MG/L
07/06/2014,9,FEET,74.5,DEGREES F,8.38,MG/L
07/06/2014,12,FEET,74.5,DEGREES F,8.36,MG/L
07/06/2014,15,FEET,74,DEGREES F,8.14,MG/L
07/06/2014,18,FEET,67.4,DEGREES F,1.21,MG/L
07/06/2014,20,FEET,65.3,DEGREES F,.15,MG/L
07/21/2014,0,FEET,74.8,DEGREES F,9.06,MG/L
07/21/2014,3,FEET,74.7,DEGREES F,9.1,MG/L
07/21/2014,6,FEET,74.5,DEGREES F,9.13,MG/L
07/21/2014,9,FEET,74.5,DEGREES F,9.12,MG/L
07/21/2014,12,FEET,74.3,DEGREES F,9.16,MG/L
07/21/2014,15,FEET,71.7,DEGREES F,5.93,MG/L
07/21/2014,18,FEET,69.2,DEGREES F,1.11,MG/L
07/21/2014,20,FEET,68.6,DEGREES F,.47,MG/L
08/14/2014,0,FEET,73.4,DEGREES F,,
08/14/2014,3,FEET,73.4,DEGREES F,,
08/14/2014,6,FEET,73.2,DEGREES F,,
08/14/2014,9,FEET,73,DEGREES F,,
08/14/2014,12,FEET,72.8,DEGREES F,,
08/14/2014,15,FEET,72.6,DEGREES F,,
08/14/2014,18,FEET,71.7,DEGREES F,,
08/14/2014,20,FEET,67.4,DEGREES F,,
08/26/2014,0,FEET,73.7,DEGREES F,,
08/26/2014,3,FEET,73.4,DEGREES F,,
08/26/2014,6,FEET,73.2,DEGREES F,,
08/26/2014,9,FEET,72.5,DEGREES F,,
08/26/2014,12,FEET,71.7,DEGREES F,,
08/26/2014,15,FEET,71.4,DEGREES F,,
08/26/2014,18,FEET,70.1,DEGREES F,,
08/26/2014,20,FEET,69.4,DEGREES F,,
09/08/2014,0,FEET,67.7,DEGREES F,8.73,MG/L
09/08/2014,3,FEET,67.7,DEGREES F,8.72,MG/L
09/08/2014,6,FEET,67.7,DEGREES F,8.69,MG/L
09/08/2014,9,FEET,67.6,DEGREES F,8.65,MG/L
09/08/2014,12,FEET,67.6,DEGREES F,8.69,MG/L
09/08/2014,15,FEET,67.5,DEGREES F,8.74,MG/L
09/08/2014,18,FEET,67.2,DEGREES F,8.81,MG/L
09/08/2014,21,FEET,66.9,DEGREES F,.18,MG/L
05/20/2015,0,FEET,57.8,DEGREES F,,
05/20/2015,3,FEET,57.7,DEGREES F,,
05/20/2015,6,FEET,57.5,DEGREES F,,
05/20/2015,9,FEET,57.2,DEGREES F,,
05/20/2015,12,FEET,56.8,DEGREES F,,
05/20/2015,15,FEET,56.4,DEGREES F,,
05/20/2015,18,FEET,56.3,DEGREES F,,
05/20/2015,21,FEET,56.1,DEGREES F,,
07/20/2015,0,FEET,75.7,DEGREES F,,
07/20/2015,3,FEET,75.7,DEGREES F,,
07/20/2015,6,FEET,75.3,DEGREES F,,
07/20/2015,9,FEET,75.2,DEGREES F,,
07/20/2015,12,FEET,75,DEGREES F,,
07/20/2015,15,FEET,74.6,DEGREES F,,
07/20/2015,18,FEET,72.6,DEGREES F,,
07/20/2015,21,FEET,67.2,DEGREES F,,
08/17/2015,0,FEET,77.7,DEGREES F,,
08/17/2015,3,FEET,77.3,DEGREES F,,
08/17/2015,6,FEET,77.1,DEGREES F,,
08/17/2015,9,FEET,75.9,DEGREES F,,
08/17/2015,12,FEET,74.1,DEGREES F,,
08/17/2015,15,FEET,72.6,DEGREES F,,
08/17/2015,18,FEET,71.4,DEGREES F,,
08/17/2015,21,FEET,68,DEGREES F,,
09/23/2015,0,FEET,65.3,DEGREES F,,
09/23/2015,3,FEET,66,DEGREES F,,
09/23/2015,6,FEET,66,DEGREES F,,
09/23/2015,9,FEET,65.8,DEGREES F,,
09/23/2015,12,FEET,65.6,DEGREES F,,
09/23/2015,15,FEET,65.4,DEGREES F,,
09/23/2015,18,FEET,65.3,DEGREES F,,
09/23/2015,21,FEET,65.3,DEGREES F,,
05/21/2016,3,FEET,68.4,DEGREES F,8.58,MG/L
05/21/2016,6,FEET,68.3,DEGREES F,8.44,MG/L
05/21/2016,9,FEET,67.6,DEGREES F,8.14,MG/L
05/21/2016,12,FEET,67.3,DEGREES F,7.55,MG/L
05/21/2016,15,FEET,65.5,DEGREES F,7.47,MG/L
05/21/2016,18,FEET,63.3,DEGREES F,5.21,MG/L
06/15/2016,0,FEET,73.8,DEGREES F,8.46,MG/L
06/15/2016,3,FEET,73.9,DEGREES F,8.45,MG/L
06/15/2016,6,FEET,73.9,DEGREES F,8.49,MG/L
06/15/2016,9,FEET,73.7,DEGREES F,8.47,MG/L
06/15/2016,12,FEET,73.7,DEGREES F,8.47,MG/L
06/15/2016,15,FEET,72,DEGREES F,8.1,MG/L
06/15/2016,18,FEET,72,DEGREES F,7.4,MG/L
07/17/2016,0,FEET,72.7,DEGREES F,7.43,MG/L
07/17/2016,3,FEET,72.9,DEGREES F,7.25,MG/L
07/17/2016,6,FEET,73,DEGREES F,7.18,MG/L
07/17/2016,9,FEET,73.1,DEGREES F,7.09,MG/L
07/17/2016,12,FEET,72.8,DEGREES F,6.94,MG/L
07/17/2016,15,FEET,72.7,DEGREES F,6.43,MG/L
07/17/2016,18,FEET,72.5,DEGREES F,6.06,MG/L
07/17/2016,21,FEET,71.5,DEGREES F,5.99,MG/L
05/31/2017,3,FEET,58,DEGREES F,,
05/31/2017,6,FEET,58.6,DEGREES F,,
05/31/2017,9,FEET,58.4,DEGREES F,,
05/31/2017,12,FEET,57,DEGREES F,,
05/31/2017,15,FEET,55.9,DEGREES F,,
05/31/2017,18,FEET,55.2,DEGREES F,,
05/31/2017,21,FEET,53.4,DEGREES F,,
05/31/2017,24,FEET,51.8,DEGREES F,,
06/21/2017,3,FEET,71.9,DEGREES F,10.2,MG/L
06/21/2017,6,FEET,71.4,DEGREES F,8.38,MG/L
06/21/2017,9,FEET,71.1,DEGREES F,8.39,MG/L
06/21/2017,12,FEET,72.5,DEGREES F,8.23,MG/L
06/21/2017,15,FEET,70,DEGREES F,8.02,MG/L
06/21/2017,18,FEET,65.9,DEGREES F,4.61,MG/L
06/21/2017,21,FEET,62,DEGREES F,1.56,MG/L
07/12/2017,3,FEET,78.8,DEGREES F,9.13,MG/L
07/12/2017,6,FEET,74.2,DEGREES F,9.02,MG/L
07/12/2017,9,FEET,74.1,DEGREES F,8.85,MG/L
07/12/2017,12,FEET,72.5,DEGREES F,7.6,MG/L
07/12/2017,15,FEET,70.2,DEGREES F,6.01,MG/L
07/12/2017,18,FEET,68.6,DEGREES F,4.64,MG/L
07/12/2017,21,FEET,66,DEGREES F,1.63,MG/L
08/22/2017,3,FEET,70.2,DEGREES F,8.06,MG/L
08/22/2017,6,FEET,70.3,DEGREES F,7.99,MG/L
08/22/2017,9,FEET,70,DEGREES F,7,MG/L
08/22/2017,12,FEET,69,DEGREES F,6.68,MG/L
08/22/2017,15,FEET,68,DEGREES F,6.43,MG/L
08/22/2017,18,FEET,68,DEGREES F,5.94,MG/L
08/22/2017,21,FEET,67,DEGREES F,3.97,MG/L
09/15/2017,3,FEET,69,DEGREES F,,
09/15/2017,6,FEET,68,DEGREES F,,
09/15/2017,9,FEET,68,DEGREES F,,
09/15/2017,12,FEET,67,DEGREES F,,
09/15/2017,15,FEET,65,DEGREES F,,
09/15/2017,18,FEET,64,DEGREES F,,



Start Date,Fieldwork Comment
09/23/1997,Sunny- light wind.    
07/02/1998,Clouds at 25%- 5 mph northwest wind- air temperature 75 degrees.    
07/23/1998,Mostly cloudy (75%) - wind northwest 20 mph - waves- air temperature 70 degrees.    
08/08/1998,Clear (90%) - wind 5 mph- temperature 80 degrees.  Lake calm.    
08/30/1998,Clouds 50%- wind 5 mph- temperature 72 degrees- light ripple.    
09/20/1998,Clear with bright sun- wind 25 mph- temperature 65 degrees- whitecaps.    
10/04/1998,10% clouds- wind 15 mph- temperature 60 degrees.    
10/23/1998,Clear with no clouds- wind 15-20 mph.    
04/24/1999,58 F. wind S 5 mph. clear/sunny. eagle on nest on island.    
05/21/1999,Cloudy/bright. breeze W 5 mph. lake cloudier / lots of recent rain.    
06/02/1999,Cloudy. 50 F. wind N 10 mph. have 2 baby eagles.    
06/21/1999,70 F. Sunny. Wind S 20 mph.    
06/29/1999,Clear. temp 55 F. wind N 15 mph.    
07/16/1999,Cloudy/ bright. wind S 3 mph. 80 F. humid.    
07/29/1999,Clear. light wind s. 82 F. humid.    
08/19/1999,Partly cloudy 30%. light wind - 5 mph. 70 F.    
04/24/2000,65 degrees- east wind at 20 mph- clear- sunny- and pair of eagles near nest on island.    
05/26/2000,70 degrees- partly cloudy- breezy northeast wind at 15 mph- and eagle near nest on island.    
06/17/2000,70 degrees- partly cloudy- and 15 mph west wind.    
07/11/2000,75 degrees- partly cloudy (40% overcast) - and 10 mph winds.    
07/28/2000,68 degrees- cloudy- 90% overcast- haze- and 15 mph wind.    
08/12/2000,70 degrees- cloudy- 100% overcast- and 5 mph wind.    
08/27/2000,74 degrees- partly cloudy- and 15 mph southwest wind.    
09/30/2000,72 degrees- partly cloudy- and 20 mph south wind.    
06/28/2001,90 deg F. W wind at 15 mph. Clear and sunny. 2 baby eagles in nest.    
07/14/2001,85 deg F. Calm and overcast. Hot and humid.    
07/30/2001,75 deg F. Overcast all day. S wind 10-15 mph. Thunderstorms around noon. Baby eagles flying.    
08/15/2001,68 deg F. Overcast all day. SW wind at 10-15 mph.    
08/31/2001,65 deg F. 50/50 sunny-cloudy. SE wind at 5 mph.    
09/16/2001,62 deg F. Cloudy. 5 mph S wind.    
10/02/2001,62 deg F. 90% cloudy. 20 mph wind SW.    
10/11/2001,62 deg F. sunny- no clouds. 5 mph SW wind    
05/01/2002,Ice out April 18- 2002.  Partly cloudy and wind S at 10 mph.    
05/27/2002,Sunny- light wind- temperature is 73 degrees- and 1st warm day and not windy.    
06/15/2002,Partly cloudy- 85% clouds- wind N at 25 mph- and the temperature is 68 degrees.    
06/30/2002,Sunny- windy S- and hot - the temperature is 86 degrees.    
07/20/2002,Overcast- wind S at 10 mph- humid and temperature is 77 degrees.    
08/04/2002,Cloudy and bright- calm- the temperature is 75 degrees and humid. Bloom in lake.    
08/18/2002,80% clouds but bright- NW wind at 10 mph- and cool at 63 degrees.    
09/07/2002,Hazy sun- wind 10 mph- warm at 80 degrees and humid.    
09/18/2002,Cloudy- bright- wind S at 10 mph- and the temperature is 72 degrees and humid.    
10/01/2002,Partly cloudy- windy NW at 5 mph- warm at 70 degrees- humid- saw an eagle in tree on island- and bloom on water.  On 10/17 took boat out and then on 10/23 had ice in bay but melted later in the day.    
04/29/2003,Ice out 4/18.  Partly cloudy- 60 F- NW wind 10-15 mph.    
05/17/2003,Partly cloudy but bright.  70 F. Light breeze 5 mph.    
06/18/2003,Partly cloudy- 74 F. Wind NE 10 mph.    
07/11/2003,Partly cloudy- 68 F.  Wind N 10 mph.    
07/20/2003,Sunny- 78 F.  Wind W 10-20 mph.    
08/05/2003,Cloudy/bright- light breeze- 75 F- humid.    
09/06/2003,Hazy/bright. Calm- 75 F.    
09/21/2003,100% cloudy- windy 5-15 mph. 60 F.    
10/08/2003,Sunny- 72 F- windy - west 20 mph    
04/16/2004,Ice out 4/16.  Sunny- 68 F.  Wind 5 mph West.  Saw loons; ducks flying; eagle on nest.    
05/14/2004,NEAR CENTER    
06/22/2004,NEAR CENTER - BOTTOM    
07/30/2004,Partly cloudy- calm.  Eagle overhead.  2 PWC on lake.    
08/25/2004,Wind 8 mph south.  Cloudy    
08/31/2004,Cloudy- light wind.    
09/10/2004,Sunny- windy 10-15 mph South.    
10/10/2004,Sunny- breeze 5 mph south.    
05/09/2005,Mostly cloudy--Wind S-10-15mph
Ice out on lake 4/9/2005    
06/28/2005,Sunny-wind N/NE 10mph   Recent rains and high wind    
07/11/2005,Clear- Warm 75F- wind S 10 mph- Jet ski on lake    
07/17/2005,UPPER TWIN - INTEGRATED SAMPLE    
07/27/2005,Breezy- SW  5-10mph- weather cooled off 70F    
08/28/2005,UPPER TWIN - INTEGRATED SAMPLE    
10/25/2005,cloudy- slight breeze- eagle by nest    
05/21/2006,Partly Sunny- Wind NW 10-15mph.
06/03/2006,P. Sunny Wind 5-10 mph  NE- No eagles using nest (had seen fixing nest in March)
06/11/2006,Partly Sunny- Wind E 5-10 mph- Had turned cooler- 67F- Several fishing boats
06/30/2006,hazy sun-Wind south 5-10 mph. Loons with 2 babies on lake
07/11/2006,P. Cloudy  Calm  Loons with 2 babies on lake(growing)
Deer with twins on shore
07/23/2006,P. Cloudy.  Wind south 10mph.   Several boats + 2 kyaks on lake
07/29/2006,cloudy. wind S. 5-10mph Storm during night
08/21/2006,P. Cloudy.  N.W. wind 10-15mph. Eagle by nest. One fisherman. 3" rain 2 days ago.
09/15/2006,sunny-windy S.10-15mph
09/26/2006,partly cloudy. wind s.w. 10mph
04/20/2007,sunny 76 degrees wind S 5-10mph   Eagle on nest.  Surface water temp54 degrees                                                Ice out 4/2 but refroze out 4/11 
05/09/2007,sunny-76 degrees- wind W 5mph water surface temp 66 degrees
05/19/2007,calm- partly cloudy- 68 degrees.  Water 62 F at surface.
05/30/2007,Partly sunny- 75 F.  Wind S 5-10 mph.  Eagle on nest.
06/24/2007,sunny 79 degrees wind SW 5-10mph Green sediment in water from trees Boat pulling tube 
07/07/2007,sunny 77 degrees  wind S-10mph
07/23/2007,overcast--wind S. 5mph humid 
07/31/2007,Sunny- 74 F.  Wind NW 5-7 mph.  Water surface temperature 80 F.
08/26/2007,overcast--bright Wind S. 10mph 
09/08/2007,sunny 64degrees  wind NW 5-8mph
Surface water temp 72.6 F- bottom temp 69.6 F
09/16/2007,Sunny Wind 5-10 mph surface water temp 58.2 bottom 59.4
10/03/2007,Sunny- wind W 15 mph.  Surface water 59 F.  Bottom 59.8 F.  Recent rains.
05/19/2008,2 loons on lake also 2 eagles flew over-1 flew into nest. Cloudy. Wind E. 5-10mph
Sediment in water 
06/07/2008,P. Sunny 74 degrees. Wind W. 8mph. Several boats on lake. Very windy yesterday with white caps on lake.
06/23/2008,Sunny 70degrees;  Wind NW 10mph; sediment in water from trees; loon on lake; several fishing boats.
07/09/2008,partly sunny; 74 degrees.  wind  NW 10 mph few boats fishing
07/21/2008,Sunny;  wind  W 5-10mph Sunny;  wind  W 5-10mph Sunny; Wind W 5-10mph
08/02/2008,Sunny- calm. 78 degrees Sunny- calm. 78 degrees. Some particles. Grass floating in some areas Sunny- calm. 78 degrees. Some particles. Grass floating in some areas
08/18/2008,Partly cloudy  wind W 5mph   Loons and fishing boats on lake
09/21/2008,Hazy sun. Wind S. 5-10mph. Several fishing boats. One loon seen.
10/04/2008,Sunny 58 degrees     Wind E 2mph   Several fishing boats    2 loons(this years babies)
04/28/2009,weather--clear.  winds E 10mph 
2 loons on lake

Ice on lake 11/18/2008
Ice off lake 4/7/2009  (could not find form for this info)
05/08/2009,Change in previous info on "ice off"--should be 4/14/2009

Sunny--lt wind.  some sediment in water(prob. tree pollen)  
one fishing boat             saw two loons in separate areas

Now using Hach HQ30 meter for DO readings
06/02/2009,Partly sunny--lt wind at location
06/29/2009,partly cloudy    Wind NW  20-25mph
Had been very windy last few days
07/07/2009,sunny 71degrees   calm    baby loon with parents
07/27/2009,71degrees  Cloudy-bright  Wind 5mph
Several fishing boats- one canoe on lake
Saw loon family
08/27/2009,sunny- no clouds. 70degrees  wind N.W. 5 mph
08/31/2009,clear 60 degrees wind W 8mph
2 loons on lake.  Eagle in tree.  Jet ski and fishing boat on lake
09/30/2009,Clear            Wind E 5mph
04/20/2010,Breeze W 5-10mph; bright sun; 58 degrees; two loons on lake
04/26/2010,54 degrees  hazy sun   windy NE 15-20mph
05/19/2010,P. sunny  Wind W. 5mph
tree pollen on water
05/25/2010,72degrees   Sunny    Breeze 5mph from SE
Bloom on surface
06/05/2010,cloudy 70 degrees wind NW 5mph   Saw 2 loons      2 boats also
06/29/2010,60 degrees   sunny      wind NW  10mph
2 loons with baby
3 fishing boats
07/06/2010,sunny with clouds     wind SW 5mph     reflection on water
loons with 2 babies
07/24/2010,clouds with open areas   partly sunny  68degrees   wind N 5mph
sailboat   2 fishing boats clouds with open areas  partly cloudy   68 degrees  wind N 5mph
sailboat   2 fishing boats clouds with open areas   partly sunny    68degrees       wind  N 5mph
sailboat   2 fishing boats cloudy with open areas     partly cloudy     68degrees   wind N 5mph
sailboat     2 fishing boats

08/17/2010,sunny    5-10mph wind
09/05/2010,sunny 69 degrees       wind W 5mph
several boats and pontoons
09/17/2010,52 DEGREES   CLOUDY      RAIN  AT TIMES
05/04/2011,45degrees-sunny- breeze SW 5-10mph
Heard loons-later saw 3(pair+one). Eagle on nest.
05/19/2011,cloudy 60 degrees- sun trying to shine
Wind E 5-10mph
Eagle on branch by nest 
06/08/2011,74degrees clear    wind NW10-15mph
2fishing boats            eagle flew off nest
07/02/2011,sunny 75 degrees  Storm last night
wind W5-10mph
1 fishing boat and several other boats
07/16/2011,P. Sunny  76 degrees Wind S  5mph
2 loons
4fishing boats
07/25/2011,sunny 75degrees      Breeze W-10mph
1other boat        Saw loon
08/09/2011,was p. sunny but turned cloudy 75degrees and light rain    breeze   W 5-10mph
1 fishing boat         saw baby and adult eagle           3 adult loons together
08/23/2011,cloudy    wind W 5-10mph    69degrees
Some clearing and sun later
09/08/2011,Sunny   breeze 5mph NE  71degrees  
sea gulls       eagle by nest      loon on lake
10/03/2011,sunny 62degrees  lt breeze 5mph NE

Secchi reading only
04/14/2012,Ice on 12/02/2011    Ice out  03/23/2012
Sun 60degrees   Breezy W  20mph one other small boat on lake
Became to windyfor anchor to hold position
05/09/2012,P. sunny 57 degrees     breeze 10-15mph from NW
2 loons on lake 
05/25/2012,sun 60degrees     breeze W 15-20mph
eagle on dead birch stump
06/07/2012,sun 70 degrees     breezeSW  10-15mph
one fishing boat
Doric Digital Temp Meter used
no dissolved oxygen reading
06/26/2012,sun 68degrees  some hazy clouds
breeze SW 10-15mph
several fishing boats
recent heavy rains
07/05/2012,85degrees     wind 5mph
2adult and 2baby loons
1 pontoon boat-pulling tube       1 fishing boat     1 pleasure boat
07/30/2012,78degrees partly sunny wind W 7mph 
Adult and 2 baby loons
3 fishing boats
08/14/2012,69 degrees P cloudy wind W 7mph  Lake dropping
2loons      later saw pair of loons with 2young(have 2 pair on lake this year)
3 fishing boats
Used Doric Digital Thermometer  No Oxygen readings
08/26/2012,Clear 78 degrees   Breeze W 10mph 
Eagle flying and young eagle by nest
2 fishing boats      Lots of weeds in lake
09/14/2012,Sunny 63 degrees  Breeze  N 5mph
2 loons    several fishing boats   leaves turning color
Using Doric Digital Thermometer    No O2 reading
05/21/2013,Cloudy- bright 49 degrees. Breeze N 5-10mph  4" rain last 4 days
06/12/2013,cloudy- bright     wind calm
some tree pollen on top surface
1 fishing boat
06/24/2013,Sunny  Wind SW 5mph 
lots of tree pollen on lake surface    recent rains and wind
2 loons    one pontoon on lake
07/10/2013,partly sunny 70degrees
wind N 10mph   Cooled off last night
1 fishing boat on lake partly sunny 70degrees
wind N 10mph   Cooled off last night
1 fishing boat on lake
No dissolved Oxygen reading
07/29/2013,Clouds with sun 71degrees 
Calm then breeze 5-10 mph 
Saw loon family(4)   Canoe fishing and fishing boat
09/02/2013,56degrees   cloudy/  bright     ripple   reflection on water
wind N10mph     recent rains--4inches in week
lots of  boats on lake
      56degrees cloudy/bright   ripple reflection on water
wind N 10mph      recent rains--4inches in week
lots of boats on lake
09/11/2013,68 degrees   Clear  sunny
Wind   W 15mph
2 loons
Eagle in flight
05/31/2014,No Oxygen reading    Temp reading using digital meter
Cloudy/ bright Peaks fo sun 80degrees  Breeze S  5mph
Some sediment from tree pollen on lake
2 loons      1 fishing boat     boat pulling tube     
06/08/2014,No Oxygen reading   Temp using digital meter
Sunny 70 degrees Breeze N 5mph    Cool and rain yesterday/Cool night
Skier   kyak   canoe   stand -up paddle boat    2loons separate areas of lake


06/29/2014,Sunny with clouds   Winds  S 15mph   3 fishing boats
Some sediment in water
07/06/2014,Sunny- breezy  Wind 15-20mph
Pontoon pulling tube Sunny  breezy  Wind  W 15-20mph
Pontoon pulling tube
07/21/2014,Warm 75degrees  hazy sun   Light breeze SW 5mph    Lots of wind recently
1 fishing boat      1 kyak
08/14/2014,70degrees    sunny   breeze SE 5mph
Sea Gulls     1  loon   1 Blue Heron
1 Fishing boat    1 row boat
Temp reading only using digital meter
08/26/2014,60 degrees  sunny Breeze NW 5-10mph  
Pontoon Boat--fishing and 1 other fishing boat
1 Loon   Several Sea Gulls
Temp reading only using digital meter
09/08/2014,67degrees  Partly sunny Breeze S  5-10mph
1 fishing boat 
Recent storm 5"+rain  2overturned boatlifts
09/25/2014,70 degrees   Partly cloudy   Calm
4 fishing boats     2loons(no babies this year)
05/20/2015,Partly sunny- loon- no boats- light wind
06/09/2015,Sunny- no boats
07/20/2015,Sunny- windy- no boats
08/17/2015,Partly sunny- no boats- light breeze
09/23/2015,Windy- mostly cloudy - little sun
05/21/2016,No collector listed on form- used two lead-equipment people

No boats- light breeze
06/15/2016,No collector listed on form- used two lead-equipment people

Overcast cloudy- windy -- no boats
07/17/2016,No collector listed on form- used two lead-equipment people

Sunny- clear- breezy
08/21/2016,No collector listed on form- used two lead-equipment people

Sunny- breezy- partly cloudy- 1 boat- 2" rain 8/20/2016

Did not get secchi depth- temp- and D.O. because boat was being repaired and weather was not permitting them to go out 
06/21/2017,Sunny- 75F- light breeze.
07/12/2017,Sunny- calm- 78.
08/22/2017,Sunny- cool- 70F- windy.




Start Date,Group Name,Project Name
09/23/1997,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/02/1998,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
07/23/1998,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/08/1998,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
08/30/1998,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
09/20/1998,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
10/04/1998,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
10/23/1998,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
04/24/1999,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
05/04/1999,Craig Roesler,LAKE EVAL BASIC
05/21/1999,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/02/1999,Ruth Ann Vyncke,Citizen Lake Monitoring - Water Quality - Tiger Cat Flowage; Upper Twin
06/09/1999,Craig Roesler,LAKE EVAL BASIC
